 ikr ibn iq imode EPCE[meV]
   1 240   1   1    0.0000000000E+00
   1 240   1   2    0.0000000000E+00
   1 240   1   3    0.0000000000E+00
   1 240   1   4   -0.7905293887E+01
   1 240   1   5   -0.7904146739E+01
   1 240   1   6   -0.1017089608E+02
   1 240   1   7   -0.1016117498E+02
   1 240   1   8   -0.5469945086E+01
   1 240   1   9   -0.5451594709E+01
   1 240   1  10   -0.2118291365E+01
   1 240   1  11   -0.2288088897E+01
   1 240   1  12   -0.7088436984E+01
   1 240   1  13   -0.7081765247E+01
   1 240   1  14   -0.5374086577E+01
   1 240   1  15   -0.3712739358E+01
   1 240   1  16   -0.3717728267E+01
   1 240   1  17   -0.2489769693E+02
   1 240   1  18   -0.7659170373E+01
   1 240   1  19   -0.7636687324E+01
   1 240   1  20   -0.5809013527E+01
   1 240   1  21   -0.5808565795E+01
   1 240   1  22   -0.2486004801E+01
   1 240   1  23   -0.5653086809E+01
   1 240   1  24   -0.5649056750E+01
   1 240   1  25   -0.1185529804E+02
   1 240   1  26   -0.5897192129E+01
   1 240   1  27   -0.5910550913E+01
   1 240   1  28   -0.2386660785E+01
   1 240   1  29   -0.1157883800E+02
   1 240   1  30   -0.4985017599E+01
   1 240   1  31   -0.4995387067E+01
   1 240   1  32   -0.3919554471E+01
   1 240   1  33   -0.3969138086E+01
   1 240   1  34   -0.7751732397E+01
   1 240   1  35   -0.3474762079E+01
   1 240   1  36   -0.3460737881E+01
   1 240   1  37   -0.2881846561E+01
   1 240   1  38   -0.6869174611E+01
   1 240   1  39   -0.6840879893E+01
   1 240   1  40   -0.3719641844E+01
   1 240   1  41   -0.3720475059E+01
   1 240   1  42   -0.1788388216E+01
   1 240   1  43   -0.4093897215E+01
   1 240   1  44   -0.4098716484E+01
   1 240   1  45   -0.1103923103E+01
   1 240   1  46   -0.9870106104E+01
   1 240   1  47   -0.3249193105E+01
   1 240   1  48   -0.3249146169E+01
   1 240   1  49   -0.1016873110E+02
   1 240   1  50   -0.3547340056E+01
   1 240   1  51   -0.3544169868E+01
   1 240   1  52   -0.4347183977E+01
   1 240   1  53   -0.3433121219E+01
   1 240   1  54   -0.3434051770E+01
   1 240   1  55   -0.4685923264E+01
   1 240   1  56   -0.4689265929E+01
   1 240   1  57   -0.1272001154E+01
   1 240   1  58   -0.2067638226E+01
   1 240   1  59   -0.2427737278E+01
   1 240   1  60   -0.1115529672E+02
   1 240   1  61   -0.3304351836E+01
   1 240   1  62   -0.3303202847E+01
   1 240   1  63   -0.5899323346E+01
   1 240   1  64   -0.4233718532E+01
   1 240   1  65   -0.4280185364E+01
   1 240   1  66   -0.3298137531E+01
   1 240   1  67   -0.6599987742E+01
   1 240   1  68   -0.6612403490E+01
   1 240   1  69   -0.7306891641E+01
   1 240   1  70   -0.7336439559E+01
   1 240   1  71   -0.4326058331E+01
   1 240   1  72   -0.3545752265E+01
   1 240   1  73   -0.7383110518E+01
   1 240   1  74   -0.2016595076E+01
   1 240   1  75   -0.2016230792E+01
   1 240   1  76   -0.2809731349E+01
   1 240   1  77   -0.2768536999E+01
   1 240   1  78   -0.2542755537E+01
   1 240   1  79   -0.2604430770E+01
   1 240   1  80   -0.3727149074E+01
   1 240   1  81   -0.6558144079E+01
   1 240   1  82   -0.5734920808E+01
   1 240   1  83   -0.5722171432E+01
   1 240   1  84   -0.8214932949E+00
   1 240   1  85   -0.5434316614E+01
   1 240   1  86   -0.5433950349E+01
   1 240   1  87   -0.3235239478E+01
   1 240   1  88   -0.5745794787E+01
   1 240   1  89   -0.5745853694E+01
   1 240   1  90   -0.2360903595E+01
   1 240   1  91   -0.1557510273E+01
   1 240   1  92   -0.2855934107E+01
   1 240   1  93   -0.2857690595E+01
   1 240   1  94   -0.5135824462E+01
   1 240   1  95   -0.3878513201E+01
   1 240   1  96   -0.3883524306E+01
   1 240   1  97   -0.4226532211E+01
   1 240   1  98   -0.4231448935E+01
   1 240   1  99   -0.3938923821E+01
   1 240   1 100   -0.5385143170E+01
   1 240   1 101   -0.5418926875E+01
   1 240   1 102   -0.6291684960E+01
   1 240   1 103   -0.6232952210E+01
   1 240   1 104   -0.5030510818E+01
   1 240   1 105   -0.2716600966E+01
   1 240   1 106   -0.2317254147E+01
   1 240   1 107   -0.2339045469E+01
   1 240   1 108   -0.1741378433E+01
   1 240   1 109   -0.3847543027E+01
   1 240   1 110   -0.3844662438E+01
   1 240   1 111   -0.2473408961E+01
   1 240   1 112   -0.6248609844E+01
   1 240   1 113   -0.6243439811E+01
   1 240   1 114   -0.4868332259E+01
